experiment_run[gemini-2.5-flash-reference] = 120
experiment_run[gemma-4-26b-a4b] = 122
experiment_run[qwen3-30b-a3b-2507] = 121
attempts complete: 360
attempts failed: 0
  phase_run_id=6364 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6364 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6370 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6370 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6370 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6382 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6382 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6382 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6386 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6386 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6386 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6409 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6409 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6409 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6426 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6426 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6426 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6427 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6427 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6427 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6435 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6435 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6435 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6437 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6437 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6437 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6441 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6441 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6441 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6447 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6447 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6447 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6448 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6448 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6448 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6449 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6449 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6449 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=6455 variant='gemini-2.5-flash-reference' repeat=1 status=complete
  phase_run_id=6455 variant='gemini-2.5-flash-reference' repeat=2 status=complete
  phase_run_id=6455 variant='gemini-2.5-flash-reference' repeat=3 status=complete
  phase_run_id=5198 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5198 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5198 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5223 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5223 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5223 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5241 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5241 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5241 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5246 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5246 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5246 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5372 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5372 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5372 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5384 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5384 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5384 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5393 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5393 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
  phase_run_id=5393 variant='qwen3-30b-a3b-2507' repeat=3 status=complete
  phase_run_id=5404 variant='qwen3-30b-a3b-2507' repeat=1 status=complete
  phase_run_id=5404 variant='qwen3-30b-a3b-2507' repeat=2 status=complete
